pathway,Level1,Level2,Level3
PWY-7111,Generation of Precursor Metabolite and Energy,Fermentation,Fermentation to Alcohols
PWY-7663,Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis
PWY0-1319,Biosynthesis,Fatty Acid and Lipid Biosynthesis,Phospholipid Biosynthesis
PWY-5667,Biosynthesis,Fatty Acid and Lipid Biosynthesis,Phospholipid Biosynthesis
PHOSLIPSYN-PWY,Biosynthesis,Fatty Acid and Lipid Biosynthesis,Phospholipid Biosynthesis
PWY-5101,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis
THRESYN-PWY,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis
ILEUSYN-PWY,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis
VALSYN-PWY,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis
PWY4FS-7,Biosynthesis,Fatty Acid and Lipid Biosynthesis,Phospholipid Biosynthesis
PWY4FS-8,Biosynthesis,Fatty Acid and Lipid Biosynthesis,Phospholipid Biosynthesis
PWY-3001,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis
RIBOSYN2-PWY,Biosynthesis,Cofactor  Prosthetic Group  Electron Carrier  and Vitamin Biosynthesis,Vitamin Biosynthesis
PWY-7208,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,Pyrimidine Nucleotide Biosynthesis
SER-GLYSYN-PWY,Biosynthesis,Amino Acid Biosynthesis,Amino Acid Biosynthesis
BRANCHED-CHAIN-AA-SYN-PWY,Biosynthesis,Amino Acid Biosynthesis,Amino Acid Biosynthesis
COMPLETE-ARO-PWY,Biosynthesis,Amino Acid Biosynthesis,Amino Acid Biosynthesis
NONOXIPENT-PWY,Generation of Precursor Metabolite and Energy,Pentose Phosphate Pathways,Pentose Phosphate Pathways
PWY-6121,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,Purine Nucleotide
ARO-PWY,Biosynthesis,Aromatic Compound Biosynthesis,Chorismate Biosynthesis
PWY-6163,Biosynthesis,Aromatic Compound Biosynthesis,Chorismate Biosynthesis
PWY-5103,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid
PWY-2942,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid
PWY-6277,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,Purine Nucleotide
PWY-6122,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,Purine Nucleotide
PWY-6387,Biosynthesis,Cell Structure Biosynthesis,Cell Wall Biosynthesis
PWY-7219,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,Purine Nucleotide
TRPSYN-PWY,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid
PEPTIDOGLYCANSYN-PWY,Biosynthesis,Cell Structure Biosynthesis,Cell Wall Biosynthesis
PWY-6123,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,Purine Nucleotide
PWY-7221,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,Purine Nucleotide
COA-PWY,Biosynthesis,Cofactor  Prosthetic Group  Electron Carrier  and Vitamin Biosynthesis,Coenzyme A Biosynthesis
GLUTORN-PWY,Biosynthesis,Amino Acid Biosynthesis,Other Amino Acid Biosynthesis
HISTSYN-PWY,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis
PWY-7229,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,Purine Nucleotide
PWY-5686,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,Pyrimidine
PWY-6126,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,Purine Nucleotide
PWY-7220,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,2'-Deoxyribonucleotide Biosynthesis
PWY-7222,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,2'-Deoxyribonucleotide Biosynthesis
PWY-5973,Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis
PWY-6386,Biosynthesis,Cell Structure Biosynthesis,Cell Wall Biosynthesis
PWY-6385,Biosynthesis,Cell Structure Biosynthesis,Cell Wall Biosynthesis
CALVIN-PWY,Biosynthesis,Carbohydrate Biosynthesis,Sugar Biosynthesis
1CMET2-PWY,Biosynthesis,Cofactor  Prosthetic Group  Electron Carrier  and Vitamin Biosynthesis,Vitamin Biosynthesis
NONMEVIPP-PWY,Biosynthesis,Secondary Metabolite Biosynthesis,Terpenoid Biosynthesis 
